ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,2,23,2314102,2,3,2,170.553418,227.71834,A,A,F,A,A,B,A,E,A,A
2017,2,21,2112233,2,3,1,298.498718,200.505148,B,C,C,B,A,A,A,A,A,C
2017,5,50,5000856,2,3,1,184.861715,179.320894,A,A,F,B,A,C,A,D,A,B
2017,3,35,3550308,1,2,1,171.350564,280.7724,A,A,C,A,A,B,A,D,E,B
2017,3,32,3205200,2,3,1,158.166777,170.95018,B,B,E,A,A,B,A,A,A,B
2017,2,28,2802304,2,2,1,192.372648,231.092057,A,D,D,A,A,A,B,E,E,B
2017,2,23,2310951,2,3,1,257.648532,223.91224,B,C,D,B,A,A,A,A,B,B
2017,2,29,2915205,2,3,2,202.50542,189.779522,A,B,G,A,B,A,A,B,E,C
2017,2,28,2800308,1,3,1,169.641953,238.567991,A,C,G,A,A,B, ,C,E,B
2017,3,31,3109303,2,3,1,247.70721,201.878367,B,F,C,B,A,B,C,D,B,B
2017,1,17,1703107,2,3,1,159.393817,174.63845800000001,A,A,E,A,A,A, ,C,A,B
2017,3,33,3304557,1,3,1,180.065232,180.795501,B,C,D,B,A,A,B,A,C,A
2017,3,31,3162955,2,3,1,221.710415,251.109727,A, , ,B,A,A,A,C,B,B
2017,2,21,2101608,2,3,1,157.061329,193.753243,B,C,D,A,A,B,A,A,D,A
2017,2,29,2919157,2,3,1,123.388266,193.496474,A,C,D,A,A,B,A,B,B,A
2017,2,29,2928901,2,3,2,220.71014,208.696337,B,C,D,B,A,A,A,C,A,A
2017,3,31,3146503,2,3,1,228.838945,267.203811,B,C,D,A,A,A,A,C,A,A
2017,3,35,3550308,1,3,1,190.855377,212.483992,B,C,D,A,A,A,B,B,A,B
2017,3,35,3510609,2,2,1,201.243947,203.276513,A,B,D,B,A,A,A,B,B,A
2017,3,33,3304557,1,3,1,156.776276,162.958415,A,B,D,B,A,B,B,C,D,A
2017,3,31,3170404,2,2,1,299.681407,266.230893,B,F,D,A,B,A,A,A, ,B
2017,3,35,3522604,2,3,1,288.139017,295.946831,A,C,D,A,A,B,A,D,B,B
2017,5,51,5107602,2,2,1,300.809388,279.804512,B,C,C,B,A,B,A,B,B,A
2017,4,41,4113205,2,3,1,170.42764,208.507197,A,F,C,A,A,A,C,A,A,C
2017,2,28,2806701,2,2,1,209.013874,197.585501,B,D,E,A,A,B,A,A,B,A
2017,4,41,4115200,2,3,1,184.957412,268.963972,B,F,C,B,A,A,B,C,D,B
2017,5,51,5103403,1,2,1,225.903406,195.419058,B,C,C,C,A,B,C,A,B,B
2017,3,31,3171600,2,3,1,153.14061,175.905873,A,A,D,A,A,A,B,A,B,A
2017,2,23,2300200,2,3,1,152.313824,185.13772,B,A,C,A,A,B,C,A,A,A
2017,2,21,2105708,2,3,1,124.369038,202.369716,A,B,H,A,A,A,A,B,C,C
2017,3,35,3549409,2,2,1,189.208857,221.983676,B,A,C,B,A,B,A,D,A,A
2017,3,35,3505708,2,3,1,172.472981,250.455563,A,A,F,A,A,A,A,D,B,B
2017,3,35,3549409,2,2,1,299.866741,284.106713,B,C,C,B,A,A,A,B,A,B
2017,2,29,2928208,2,3,1,196.625801,189.153752,B,B,D,A,A,A,A,B,E,A
2017,1,15,1507805,2,3,1,234.446458,242.4088,B,B,D,A,A,C,A,D,B,A
2017,2,22,2211308,2,3,1,141.320053,177.20794,A,E,F,A,A,A,A,A,A,A
2017,1,16,1600303,1,2,1,165.206772,170.204129,B,C,D,A,A,B,C,B,B,A
2017,2,23,2304400,1,3,1,287.849446,230.646931,B,E,C,A,A,A,A,A,A,A
2017,3,35,3501707,2,3,1,279.181056,304.414463,A,C,D,C,A,A,A,C,A,B
2017,4,41,4117057,2,3,1,230.189559,260.509028,A,C,D,A,A,C,A,B,A,B
2017,2,21,2105302,2,3,1,161.808614,187.205737,A,C,D,A,A,A,B,A,A,B
2017,1,15,1506807,2,2,1,166.049701,147.259881,A,B,C,A,A,B,A,A,D,C
2017,2,29,2925402,2,3,1,223.458693,197.911241,B,A,C,B,A,A,A,A,C,A
2017,4,43,4306205,2,3,1,156.374039,161.247104,A,C,E,C,A,A,A,D,D,A
2017,2,22,2202604,2,3,1,193.451156,240.054168,A,C,C,A,A,A,A,E,A,C
2017,4,41,4118501,2,3,1,227.31903,187.457923,B,F,C,B,A,B,C,D,B,C
2017,1,15,1504901,2,3,2,138.9874,196.906409,A,C,D, , ,A,B,B,B,B
2017,2,29,2908507,2,3,1,227.970454,198.270126,B,C,C, , ,C, ,B,A,C
2017,3,35,3519071,2,3,1,270.068614,302.761727,B,C,C,B,A,A,A,D,B,B
2017,3,35,3518701,2,3,1,242.973864,255.201995,B,A,C,B, ,B,A,B,A,B
2017,1,13,1300631,2,3,1,194.149685,156.171969,B,C,G,A,B,A,B,A,B,C
2017,3,35,3504107,2,3,1,239.920865,286.519864,A,F,D,B,A,A,A,A,B,B
2017,2,29,2927408,1,3,1,243.953369,250.021168,B,B,D,A,B,A,A,D,A,B
2017,4,41,4127809,2,3,1,238.422326,198.421762,B,C,C,A,A,B,C,B,A,B
2017,2,22,2202307,2,3,1,162.807016,178.395205,B,C,E,A,A,C,C,D,D,A
2017,4,42,4204301,2,3,1,195.840941,199.12131,A,C,E,C,A,B,B,D,A,A
2017,3,35,3530607,2,3,1,207.116844,213.398893,A,C,D,A,A,C,B,D,E,B
2017,5,53,5300108,1,2,1,167.870261,181.265723,B,B,D,A,A,B,A,B,E,C
2017,4,43,4310207,2,3,1,282.029328,240.052659,B,C,D,C,A,A,A,B,A,C
2017,4,43,4305108,2,3,1,212.896193,209.591899,A,C,D,B,A,A,A,B,A,B
