ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,4,42,4218707,2,2,1,176.033224,195.103043,B,F,E,B,A,A,B,A,A,B
2017,3,35,3550308,1,2,1,282.501644,201.97411,A,C,D,B,A,A,A,B,E,B
2017,3,31,3118601,2,3,1,253.285964,239.305043,B,A,C,B,A,A,A,A,E,A
2017,3,35,3515004,2,3,1,334.228086,309.336398,B,F,D,B,A,B,A,D,A,C
2017,4,41,4125506,2,3,1,197.065942,176.778073,B,B,C,B,A,C,A,A,E,B
2017,3,31,3165107,2,3,1,210.043128,188.009189,A,A,D,A,A,A,A,C,B,A
2017,2,24,2410108,2,3,1,112.279681,151.926443,A,D,B,B,A,A,B,D,E,C
2017,1,13,1301605,2,3,1,132.742898,159.112184,A,A,C,A,A,A,A,D,D,A
2017,2,23,2304707,2,3,1,276.062166,319.366108,B,C,C,B,A, ,A, ,E,B
2017,3,31,3103801,2,3,1,293.800797,301.720118,B,A,C,A,A,A,A,B,C,B
2017,5,50,5002704,1,3,1,178.774064,165.977495,B,C,C,B,B,B,C, ,D,C
2017,2,23,2302107,2,3,1,260.174948,241.317223,B,F,C,A,A,A,A,B,A,B
2017,3,35,3506607,2,3,1,258.346785,249.094193,A,A,D,B,A,A,A,E,A,C
2017,4,43,4303103,2,3,1,286.793637,244.931333,B,A,C,C,A,A,A,A,A,A
2017,3,35,3550308,1,2,1,192.300862,168.328885,B,A,C,B,A,A,A,A,A,B
2017,3,31,3152204,2,2,1,254.967634,294.366644,A,C,D,A,A,C,A, ,B,A
2017,4,41,4113700,2,3,1,267.445674,301.578598,A,C,C,A,A,A,B,C,C,B
2017,3,35,3539509,2,3,1,213.304931,233.998849,A,C,D,B,A,A,A,D,B,B
2017,3,35,3550308,1,3,1,206.666401,229.664064,A,C,D,A,A,A,A,D,E,A
2017,4,43,4319711,2,2,1,198.66117,203.699227,B,A,C,C,A,A,A,D,D,A
2017,2,29,2923704,2,3,1,199.631089,202.725024,A,C,D,C,A,A,A,D,B,A
2017,3,35,3534401,2,3,1,200.764249,185.932677,B,D,D,B,A,B,A,C,C,C
2017,4,42,4205456,2,2,1,217.808648,200.449815,A,C,C,A,A,C,B,A,A,B
2017,3,32,3205200,2,3,1,203.091448,206.814051,B,B,G,A,B,A,B,B,A,B
2017,3,31,3133808,2,2,1,177.363068,162.597406,B,C,D,C,A,B,B,B,D,A
