ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,31,3127701,2,2,1,252.763514,233.807027,B,B,D,C,C,B,A,A,E,A
2017,3,35,3554805,2,3,1,298.831427,244.78456,B,C,D,C,A,A,A,D,A,B
2017,5,50,5002704,1,3,1,256.42871,182.396146,B,A,C,B,A,B,A,E,D,C
2017,2,21,2108603,2,3,2,127.375868,145.272294,A,E,D,A,A,A,A,A,A,A
2017,5,53,5300108,1,2,1,298.636561,221.472373,A,B,E,B,A,C,A,A,A,C
2017,3,35,3509502,2,2,1,233.328724,285.568017,B,C,C,A,A,B,A,A,B,A
2017,3,31,3143302,2,3,1,252.898823,275.812962,B,D,D,A,A,A,A,D,A,A
2017,5,52,5211206,2,3,1,252.858274,252.573435,B,F,D,C,A,A,A,E,D,C
2017,1,13,1300086,2,3,1,169.283351,183.702405,B,C,F,B,A,A,C,B,B,A
2017,1,15,1501402,1,3,1,183.520192,191.013681,B,C,C,A,A,B,A,D,C,C
2017,5,50,5002209,2,2,1,260.203982,236.535075,A,A,G,B,A,A,C,B,A,C
2017,2,21,2112506,2,3,2,222.436656,203.896415,A,A,D,B,A,A,A,E,A,C
2017,2,29,2914000,2,3,1,195.24169,147.347967,B,B,G,A,A,B,A,C,C,B
2017,3,32,3205309,1,3,1,223.034749,217.82456,B,C,C,A,B,C,B,C,A,B
2017,3,35,3549904,2,2,1,161.33999,234.240919,B,A,D,B,A,A,C,D,D,C
2017,4,41,4109609,2,3,1,209.238104,229.086025,B,A,B,C,A,B,B,D,B,B
2017,5,51,5107909,2,3,1,204.732349,226.497987,A,C,E,B,A,A,B,A,B,B
2017,3,31,3155207,2,2,1,223.475662,254.353047,B,F,B,A,A,B,B,D,D,A
2017,4,43,4305801,2,3,1,187.274749,198.696976,B,B,C,B,A,C,A,A,A,A
2017,3,35,3509502,2,2,1,255.735635,240.94403,A,C,E,B,A,B,B,C,A,C
2017,3,33,3302205,2,3,1,251.201782,253.750248,B,A,D,C,C,B,B,B,B,B
2017,2,23,2305407,2,3,1,194.998233,189.643145,B,A,D,A,A,A,B,E,B,B
2017,3,35,3509502,2,2,1,153.282971,191.922881,A,C,A,B,A,A,C,A,D,A
2017,2,23,2310704,2,3,1,320.236465,268.403707,B,C,D,A,A,A,B,E,E,B
2017,1,11,1100122,2,3,1,302.036373,329.845472,A,A,D,B,A,A,C,A,B,C
2017,5,50,5002704,1,2,1,164.420204,174.927589,A,D,G,A,A,A,B,D,B,B
2017,2,29,2902252,2,3,1,152.826467,148.30462,B,D,F,A,A,A,A,A,A,A
2017,3,35,3530706,2,3,1,213.69064,207.441442,A,A,D,C,A,A,B,C,B,B
2017,5,52,5208707,1,3,1,233.177768,233.203949,B,A,D,B,A,B,B,A,A,A
2017,4,43,6310255,2,3,2,203.851185,199.100742,B,A,D,A,A,A,C,B,A,A
2017,3,35,3543402,2,3,1,268.565833,253.408522,B,B,D,C,A,B,B,D,B,C
2017,3,35,3550308,1,2,1,286.289478,189.849947,B,C,C,B,A,A,A,B,C,B
2017,1,13,1301852,2,2,1,201.681774,283.565284,A,A,C,A,A,A,C,B,A,B
2017,2,26,2606002,2,3,1,207.397821,257.850677,A,C,D,A,A, ,A,A,E,B
2017,3,31,3170479,2,3,1,213.872117,196.132747,B,A,D,A,A,B,B,D,B,C
2017,2,29,2905008,2,3,1,215.867213,169.136138,A,A,F,A,A,A,C,A,D,A
2017,3,35,3523107,2,3,1,126.024097,159.111793,A,B,D,B,A,A,B,B,E,C
2017,1,13,1302603,1,2,1,161.159945,191.632185,A,C,D,C,A,B,C,A,D,B
2017,1,13,1300409,2,3,1,151.772256,242.255599,B,C,D,A,A,B,A,A,E,C
2017,2,29,2929909,2,3,1,137.34391,163.167732,A,C,F,A,A,A,A,D,E,C
2017,2,22,2207504,2,3,1,152.030423,209.774444,B,C,C,A,A,A,C,A,D,C
2017,3,35,3550308,1,3,1,183.841111,184.136465,A,C,C,B,A,B,B,B,A,B
2017,1,15,1505536,2,3,1,154.550008,204.478981,A,B,D,A,A, ,A,B,C,B
2017,3,35,3554102,2,3,1,279.167173,284.396179,A, ,C,C,C,C,C,C,A,B
2017,5,51,5106422,2,2,2,213.915586,209.711174,B,A,C,C,A,B,A,C,A,A
2017,3,35,3534302,2,3,1,237.487997,234.659161,A,F,C,B,A,B,A,D,A,B
2017,3,31,3106200,1,2,1,198.114919,201.47706,B,C,C,A,A,B,A,D,E,A
2017,3,31,3113404,2,3,1,120.842016,140.806273,A,C,D,B,A,A,A,E,A,A
2017,3,35,3548708,2,3,1,218.057395,227.600575,B,A,D,E,A,B,A,B,A,A
2017,2,24,2403251,2,3,1,190.84838,196.477379,B,B,D,A,A,B,B,D,B,A
2017,4,42,4211058,2,3,1,260.194231,235.659522,B,C,D,A,C,B,A,A,C,C
2017,3,35,3550308,1,2,1,234.971002,216.297078,A,C,D,C,A,A,B,B,C,C
2017,2,22,2202091,2,3,2,236.290929,237.073039,A,C,D,A,B,B,A,A,A,A
2017,3,35,3525904,2,3,1,250.152033,268.544779,A,A,C,C,A,A,A,A,C,C
2017,1,13,1302603,1,3,1,244.094628,253.998857,B,C,C,B,A,B,A,C,A,B
2017,3,31,3136207,2,2,1,294.281762,328.718124,B, ,D,C,A, ,C,B,A,B
2017,3,35,3552205,2,3,1,294.783111,252.562201,B,A,D,B,A,A,A,A,A,A
2017,4,42,4216909,2,3,1,202.283614,199.093029,A,A,D,A, ,B,C,C,B,A
2017,1,17,1702208,2,3,1,196.044401,238.884006,B,C,D,A,A, ,B,A,A,A
2017,3,31,3103751,2,3,1,291.12987,211.861631,B,C,E,B,B,C,B,A,B,B
2017,3,31,3118304,2,3,1,218.660116,251.223076,B,C,D,A,B,A,B,A,B,B
2017,3,31,3127008,2,3,1,138.954179,221.811583,A,F,C,A,A,C,C,D,A,A
2017,5,52,5213103,2,3,1,245.814147,294.778179,A,C,C,B,A,C,A,C,A,B
2017,3,35,3547809,2,2,1,238.463591,240.053498,B,A,C,A,A,B,A,B,A,C
2017,2,29,2927408,1,3,1,209.087589,216.091171,B,E,D,A,A,B,A,A,A,B
2017,1,11,1100288,2,2,1,213.022522,224.041128,A,C,D,B,A,A,B,B,A,C
2017,3,31,3143302,2,2,1,259.926532,243.490596,B,C,C,B,B,B,A,C,A,A
